,Category,Message,preprocessed_text,true_label,predicted_label,error_type,message_length,word_count,has_url,has_digit,has_spam_keyword
5566,spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",reminder from o2 to get 250 pounds free call credit and details of great offers pls reply 2 this text with your valid name house no and postcode,spam,ham,false_negative,147,28,False,True,True
5102,spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,this msg is for your mobile content order it has been resent as previous attempt failed due to network error queries to [email],spam,ham,false_negative,153,23,False,False,False
4086,spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",orange brings you ringtones from all time chart heroes with a free hit each week go to ringtones pics on wap to stop receiving these tips reply stop,spam,ham,false_negative,154,29,False,False,True
1458,spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,claire here am havin borin time am now alone u wanna cum over 2nite chat now [phone] hope 2 c u luv claire xx calls [money] minmoremobsemspobox45po139wa,spam,ham,false_negative,153,26,False,True,True
3755,spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,bloomberg message center 447797706009 why wait apply for your future [url] bloombergcom,spam,ham,false_negative,101,12,True,True,False
4475,spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,want explicit sex in 30 secs ring [phone] now costs 20pmin,spam,ham,false_negative,65,11,False,True,False
5030,spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),id like to tell you my deepest darkest fantasies call me [phone] just 60pmin to stop texts call [phone] nat rate,spam,ham,false_negative,126,21,False,True,True
5269,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",if you dont your prize will go to another customer tc at [url] 18 150pmin polo ltd suite 373 london w1j 6hl please call back if busy,spam,ham,false_negative,144,27,True,True,True
5540,spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,asked 3mobile if 0870 chatlines inclu in free mins india cust servs sed yes l8er got mega bill 3 dont giv a shit bailiff due in days i o [money] 3 want [money],spam,ham,false_negative,158,33,False,True,True
5449,spam,"Latest News! Police station toilet stolen, cops have nothing to go on!",latest news police station toilet stolen cops have nothing to go on,spam,ham,false_negative,70,12,False,False,False
2699,spam,FROM 88066 LOST £12 HELP,from 88066 lost [money] help,spam,ham,false_negative,24,5,False,True,False
1430,spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,for sale arsenal dartboard good condition but no doubles or trebles,spam,ham,false_negative,71,12,False,False,False
3141,spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,sexy sexy cum and text me im wet and warm and ready for some porn u up for some fun this msg is free recd msgs 150p inc vat 2 cancel text stop,spam,ham,false_negative,144,33,False,True,True
856,spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,talk sexy make new friends or fall in love in the worlds most discreet text dating service just text vip to 83110 and see who you could meet,spam,ham,false_negative,144,28,False,True,False
1269,spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,can u get 2 phone now i wanna chat 2 set up meet call me now on [phone] u can cum here 2moro luv jane xx calls [money] minmoremobsemspobox45po139wa,spam,ham,false_negative,146,27,False,True,True
3639,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",customer service announcement we recently tried to make a delivery to you but were unable to do so please call [phone] to reschedule ref9307622,spam,ham,false_negative,152,24,False,True,True
3360,spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,sorry i missed your call lets talk when you have the time im on [phone],spam,ham,false_negative,78,15,False,True,True
