,Category,Message,preprocessed_text,true_label,predicted_label,error_type,message_length,word_count,has_url,has_digit,has_spam_keyword
5440,ham,Thank you. do you generally date the brothas?,thank you do you generally date the brothas,ham,ham,correct,45,8,False,False,False
1887,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,dear 0776xxxxxxx uve been invited to xchat this is our final attempt to contact u txt chat to 86688 ldn 18yrs,spam,spam,correct,154,22,False,True,True
3767,ham,Yes.mum lookin strong:),yesmum lookin strong,ham,ham,correct,23,3,False,False,False
2292,ham,Remind me how to get there and I shall do so,remind me how to get there and i shall do so,ham,ham,correct,44,11,False,False,False
820,ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,boo babe u enjoyin yourjob u seemed 2 b gettin on well hunnyhope ure oktake care illspeak 2u soonlots of loveme xxxx,ham,ham,correct,124,23,False,True,False
422,spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline [phone] pobox12n146tf150p,spam,spam,correct,162,27,False,True,True
4765,ham,Hi.:)technical support.providing assistance to us customer through call and email:),hitechnical supportproviding assistance to us customer through call and email,ham,ham,correct,83,10,False,False,True
2381,ham,"If i let you do this, i want you in the house by 8am.",if i let you do this i want you in the house by 8am,ham,ham,correct,53,14,False,True,False
3377,ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",good afternon my love how are today i hope your good and maybe have some interviews i wake and miss you babe a passionate kiss from across the sea,ham,ham,correct,151,29,False,False,False
804,spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,you have won a guaranteed [money] award or even [money] cashto claim ur award call free on [phone] 18 2 stop getstop on 88222 php rg21 4jx,spam,spam,correct,141,27,False,True,True
2873,ham,See you there!,see you there,ham,ham,correct,14,3,False,False,False
5307,ham,What you did in  leave.,what you did in leave,ham,ham,correct,23,5,False,False,False
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,ham,ham,correct,141,26,False,True,False
3500,ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,i hope you arnt pissed off but id would really like to see you tomorrow love me xxxxxxxxxxxxxx,ham,ham,correct,95,18,False,False,False
902,ham,How is it possible to teach you. And where.,how is it possible to teach you and where,ham,ham,correct,43,9,False,False,False
1332,ham,Good Morning plz call me sir,good morning plz call me sir,ham,ham,correct,28,6,False,False,True
976,ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,hey no i ad a crap nite was borin without ya 2 boggy with me u boring biatch thanx but u wait til nxt time il ave ya,ham,ham,correct,117,28,False,True,False
948,ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,hey i booked the kb on sat already what other lessons are we going for ah keep your sat night free we need to meet and confirm our lodging,ham,ham,correct,142,29,False,False,True
465,ham,Ok i am on the way to railway,ok i am on the way to railway,ham,ham,correct,29,8,False,False,False
4790,ham,We're on the opposite side from where we dropped you off,were on the opposite side from where we dropped you off,ham,ham,correct,56,11,False,False,False
2204,ham,soon you will have the real thing princess! Do i make you wet? :),soon you will have the real thing princess do i make you wet,ham,ham,correct,65,14,False,False,False
1857,ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",say this slowly godi love you amp i need youclean my heart with your bloodsend this to ten special people amp u c miracle tomorrow do itplspls do it,ham,ham,correct,163,29,False,False,False
2434,ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",indians r poor but india is not a poor country says one of the swiss bank directors he says that ltgt lac crore of indian money is deposited in swiss banks which can be used for taxless budget for ltgt yrs can give ltgt crore jobs to all indians from any village to delhi 4 lane roads forever free power suply to more than ltgt social projects every citizen can get monthly ltgt for ltgt yrs no need of world bank amp imf loan think how our money is blocked by rich politicians we have full rights against corrupt politicians itna forward karo ki pura india padhegm,ham,ham,correct,629,109,False,True,True
3791,ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",i love you you know can you feel it does it make your belly warm i wish it does my love i shall meet you in your dreams ahmad adoring kiss,ham,ham,correct,157,34,False,False,False
3736,ham,"It‘s £6 to get in, is that ok?",it‘s [money] to get in is that ok,ham,ham,correct,30,8,False,True,False
3219,ham,Don know:)this week i'm going to tirunelvai da.,don knowthis week im going to tirunelvai da,ham,ham,correct,47,8,False,False,False
609,ham,Neva mind it's ok..,neva mind its ok,ham,ham,correct,19,4,False,False,False
837,spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call [phone] or reply for delivery tomorrow,spam,spam,correct,149,28,False,True,True
2673,ham,Super msg da:)nalla timing.,super msg danalla timing,ham,ham,correct,27,4,False,False,False
2420,spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,sms services for your inclusive text credits pls gotto [url] login 3qxj9 unsubscribe with stop no extra charge help [phone] comuk220cm2 9ae,spam,spam,correct,152,22,True,True,True
4986,ham,Dont let studying stress you out. L8r.,dont let studying stress you out l8r,ham,ham,correct,38,7,False,True,False
1032,ham,Yup bathe liao...,yup bathe liao,ham,ham,correct,17,3,False,False,False
3709,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,free top ringtone sub to weekly ringtoneget 1st week freesend subpoly to 816183 per weekstop sms [phone],spam,spam,correct,114,16,False,True,True
2154,ham,I dont have i shall buy one dear,i dont have i shall buy one dear,ham,ham,correct,32,8,False,False,False
